"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-13","0.1",",,E",,,"17.6",",,E","4.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-14","1.8",",,E",,,"11.2",",,E","6.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-15","0.2",",,E",,,"9.9",",,E","6.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-16","0.1",",,E",,,"16.6",",,E","7.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-17","0.0",",,E",,,"18.4",",,E","6.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-18","0.0",",,E",,,"15.9",",,E","7.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-19","0.0",",,E",,,"16.6",",,E","6.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-20","0.0",",,E",,,"15.4",",,E","7.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-21","0.0",",,E",,,"15.6",",,E","6.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-22","13.4",",,E",,,"13.6",",,E","10.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-23","2.9",",,E",,,"18.8",",,E","10.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-24","0.0",",,E",,,"17.9",",,E","8.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-25","0.0",",,E",,,"17.8",",,E","6.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-26","0.0",",,E",,,"16.3",",,E","7.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-27","0.0",",,E",,,"18.6",",,E","5.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-02-28","0.0",",,E",,,"16.8",",,E","7.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-01","0.0",",,E",,,"15.8",",,E","8.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-02","0.0",",,E",,,"15.0",",,E","9.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-03","0.0",",,E",,,"16.9",",,E","8.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-04","0.0",",,E",,,"15.6",",,E","7.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-05","0.0",",,E",,,"16.2",",,E","6.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-06","0.0",",,E",,,"16.1",",,E","6.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-07","0.4",",,E",,,"15.1",",,E","7.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-08","0.9",",,E",,,"13.9",",,E","6.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-09","0.0",",,E",,,"17.6",",,E","4.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-10","0.0",",,E",,,"18.7",",,E","4.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-11","0.0",",,E",,,"22.3",",,E","3.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-12","2.2",",,E",,,"14.3",",,E","7.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-13","0.0",",,E",,,"19.9",",,E","4.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-14","0.0",",,E",,,"18.3",",,E","3.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-15","0.0",",,E",,,"19.4",",,E","3.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-16","0.0",",,E",,,"19.5",",,E","4.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-17","0.0",",,E",,,"20.9",",,E","5.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-18","1.6",",,E",,,"16.3",",,E","5.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-19","3.9",",,E",,,"12.3",",,E","3.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-20","0.0",",,E",,,"15.8",",,E","1.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-21","0.0",",,E",,,"18.4",",,E","1.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-22","0.0",",,E",,,"20.3",",,E","3.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-23","0.0",",,E",,,"18.8",",,E","3.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-24","0.0",",,E",,,"21.0",",,E","4.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-25","0.0",",,E",,,"19.1",",,E","4.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-26","0.0",",,E",,,"20.1",",,E","6.5",",,E"
