,z_score_daily
2021-10-25,-0.793
2021-10-26,-0.738
2021-10-27,-0.698
2021-10-28,-0.694
2021-10-29,-0.637
2021-10-30,-0.651
2021-10-31,-0.754
2021-11-01,-0.805
2021-11-02,-0.69
2021-11-03,-0.71
2021-11-04,-0.714
2021-11-05,-0.636
2021-11-06,-0.671
2021-11-07,-0.881
2021-11-08,-0.802
2021-11-09,-0.735
2021-11-10,-0.705
2021-11-11,-0.632
2021-11-12,-0.673
2021-11-13,-0.651
2021-11-14,-0.753
2021-11-15,-0.779
2021-11-16,-0.686
2021-11-17,-0.697
2021-11-18,-0.713
2021-11-19,-0.64
2021-11-20,-0.652
2021-11-21,-0.724
2021-11-22,-0.798
2021-11-23,-0.686
2021-11-24,-0.707
2021-11-25,-0.688
2021-11-26,-0.68
2021-11-27,-0.646
2021-11-28,-0.767
2021-11-29,-0.781
2021-11-30,-0.737
2021-12-01,-0.72
2021-12-02,-0.694
2021-12-03,-0.64
2021-12-04,-0.687
2021-12-05,-0.881
2021-12-06,-0.738
2021-12-07,-0.687
2021-12-08,-0.721
2021-12-09,-0.704
2021-12-10,-0.636
2021-12-11,-0.672
2021-12-12,-0.736
2021-12-13,-0.796
2021-12-14,-0.767
2021-12-15,-0.72
2021-12-16,-0.71
2021-12-17,-0.648
2021-12-18,-0.687
2021-12-19,-0.677
2021-12-20,-0.739
2021-12-21,-0.744
2021-12-22,-0.691
2021-12-23,-0.712
2021-12-24,-0.638
2021-12-25,-0.631
2021-12-26,-0.724
2021-12-27,-0.799
2021-12-28,-0.734
2021-12-29,-0.739
2021-12-30,-0.633
2021-12-31,-0.637
2022-01-01,-0.669
2022-01-02,-0.664
2022-01-03,-0.804
2022-01-04,-0.686
2022-01-05,-0.72
2022-01-06,-0.675
2022-01-07,-0.638
2022-01-08,-0.652
2022-01-09,-0.748
2022-01-10,-0.804
2022-01-11,-0.738
2022-01-12,-0.709
2022-01-13,-0.705
2022-01-14,-0.643
2022-01-15,-0.674
2022-01-16,-0.724
2022-01-17,-0.778
2022-01-18,-0.78
2022-01-19,-0.705
2022-01-20,-0.681
2022-01-21,-0.68
2022-01-22,-0.692
2022-01-23,-0.754
2022-01-24,-0.798
2022-01-25,-0.768
2022-01-26,-0.71
2022-01-27,-0.693
2022-01-28,-0.64
2022-01-29,-0.687
2022-01-30,-0.754
2022-01-31,-0.782
2022-02-01,-0.759
